fecha,hora,centro_x,centro_y
03/12/23,04:57:22,83,76
03/12/23,04:57:27,85,80
03/12/23,04:57:30,87,88
03/12/23,04:57:34,90,83
03/12/23,04:57:38,91,84
03/12/23,04:57:41,90,83
03/12/23,04:57:45,93,75
03/12/23,04:57:49,98,79
03/12/23,04:57:53,98,79
03/12/23,05:27:06,83,76
03/12/23,05:27:09,85,80
03/12/23,05:27:13,87,88
03/12/23,05:27:17,90,83
03/12/23,05:28:40,83,76
03/12/23,05:28:44,85,80
03/12/23,05:28:47,87,88
03/12/23,05:29:45,83,76
03/12/23,05:29:48,85,80
03/12/23,05:29:52,87,88
03/12/23,05:29:55,90,83
03/12/23,05:29:59,91,84
03/12/23,05:30:03,90,83
03/12/23,05:52:25,83,76
03/12/23,05:52:28,85,80
03/12/23,05:52:32,87,88
03/12/23,05:52:35,90,83
03/12/23,05:52:39,91,84
03/12/23,05:53:16,83,76
03/12/23,05:53:20,85,80
03/12/23,05:53:23,87,88
03/12/23,05:53:27,90,83
03/12/23,05:53:30,91,84
03/12/23,05:53:34,90,83
03/12/23,05:53:37,93,75
03/12/23,05:53:41,98,79
03/12/23,05:59:29,83,76
03/12/23,05:59:33,85,80
03/12/23,05:59:36,87,88
03/12/23,05:59:40,90,83
03/12/23,06:01:29,83,76
03/12/23,06:01:32,85,80
03/12/23,06:01:36,87,88
03/12/23,06:01:39,90,83
03/12/23,08:45:53,83,76
03/12/23,08:46:04,85,80
03/12/23,08:46:08,87,88
03/12/23,08:46:11,90,83
03/12/23,08:48:01,83,76
03/12/23,08:48:05,85,80
03/12/23,08:48:08,87,88
03/12/23,08:48:12,90,83
03/12/23,08:48:16,91,84
03/12/23,08:48:19,90,83
03/12/23,08:48:23,93,75
03/12/23,08:48:27,98,79
03/12/23,08:48:30,98,79
03/12/23,08:48:34,100,77
03/12/23,08:48:38,100,77
03/04/24,20:03:16,83,76
03/04/24,20:03:29,83,76
03/04/24,20:04:13,83,76
03/04/24,20:08:51,83,76
03/04/24,20:09:52,83,76
03/04/24,20:10:38,83,76
03/04/24,20:18:47,83,76
03/04/24,20:18:50,85,80
03/04/24,20:18:52,87,88
03/04/24,20:18:54,90,83
03/04/24,20:18:56,91,84
03/04/24,20:18:58,90,83
03/04/24,20:19:00,93,75
03/04/24,20:19:02,98,79
03/04/24,20:19:04,98,79
03/04/24,20:19:06,100,77
03/04/24,20:19:08,100,77
03/04/24,20:19:10,104,75
03/04/24,20:19:12,104,75
03/04/24,20:19:14,104,77
03/04/24,20:20:44,83,76
03/04/24,20:20:46,85,80
03/04/24,20:20:48,87,88
03/04/24,20:20:50,90,83
03/04/24,20:20:52,91,84
03/04/24,20:20:54,90,83
03/04/24,20:20:56,93,75
03/04/24,20:20:58,98,79
03/04/24,20:21:00,98,79
03/04/24,20:25:11,83,76
03/04/24,20:25:13,85,80
03/04/24,20:25:15,87,88
03/04/24,20:25:17,90,83
03/04/24,20:25:19,91,84
03/04/24,20:25:21,90,83
03/04/24,20:25:24,93,75
03/04/24,20:25:26,98,79
03/04/24,20:25:28,98,79
03/04/24,20:25:30,100,77
03/04/24,20:25:32,100,77
03/04/24,20:25:34,104,75
03/04/24,20:25:36,104,75
03/04/24,20:26:13,83,76
03/04/24,20:26:15,85,80
03/04/24,20:26:17,87,88
03/04/24,20:26:19,90,83
