fecha,hora,objeto,confidence,dest_q1_x,dest_q1_y,dest_q2_x,dest_q2_y,dest_q3_x,dest_q3_y,dest_q4_x,dest_q4_y,centro_x,centro_y
03/12/23,04:57:22,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,04:57:22,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,04:57:22,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,04:57:22,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,04:57:27,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,04:57:27,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,04:57:30,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,04:57:30,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,04:57:30,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,04:57:34,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,04:57:34,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,04:57:34,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,04:57:38,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/12/23,04:57:38,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/12/23,04:57:38,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/12/23,04:57:41,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/12/23,04:57:41,person,0.9463729858398438,0,148,11,154,11,143,0,143,5,153
03/12/23,04:57:41,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/12/23,04:57:45,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/12/23,04:57:45,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/12/23,04:57:45,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
03/12/23,04:57:49,person,0.9875617623329164,81,75,115,83,115,49,81,49,98,79
03/12/23,04:57:49,person,0.9759254455566406,0,146,14,152,14,138,0,138,7,151
03/12/23,04:57:49,person,0.928288459777832,191,118,219,124,219,96,191,96,205,121
03/12/23,04:57:53,person,0.9853234887123108,81,75,116,83,116,48,81,48,98,79
03/12/23,04:57:53,person,0.9810000658035278,0,149,18,155,18,137,0,137,9,153
03/12/23,04:57:53,person,0.8667431473731995,194,118,221,125,221,98,194,98,207,122
03/12/23,05:27:06,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,05:27:06,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,05:27:06,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,05:27:06,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,05:27:09,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,05:27:09,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,05:27:13,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,05:27:13,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,05:27:13,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,05:27:17,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,05:27:17,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,05:27:17,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,05:28:40,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,05:28:40,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,05:28:40,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,05:28:40,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,05:28:44,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,05:28:44,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,05:28:47,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,05:28:47,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,05:28:47,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,05:29:45,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,05:29:45,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,05:29:45,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,05:29:45,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,05:29:48,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,05:29:48,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,05:29:52,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,05:29:52,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,05:29:52,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,05:29:55,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,05:29:55,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,05:29:55,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,05:29:59,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/12/23,05:29:59,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/12/23,05:29:59,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/12/23,05:30:03,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/12/23,05:30:03,person,0.9463729858398438,0,148,11,154,11,143,0,143,5,153
03/12/23,05:30:03,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/12/23,05:52:25,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,05:52:25,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,05:52:25,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,05:52:25,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,05:52:28,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,05:52:28,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
